name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
HGS TECHNOLOGIES,3.9,(91 Reviews),Bengaluru/Bangalore + 11 more,11-50 Employees (India),,
AO SMITH INDIA W...,4.1,(91 Reviews),Private,"Milwaukee,Wisconsin + 16 more",17 years old,201-500 Employees (India)
Cadworks India,4.6,(91 Reviews),Private,"New Delhi,Delhi + 6 more",12 years old,51-200 Employees (India)
Vertafore,4.0,(91 Reviews),Private,"Denver,Colorado",54 years old,501-1k Employees (India)
Andhra Paper,3.8,(91 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 6 more",59 years old,1k-5k Employees (India)
Accentuate Busin...,3.8,(91 Reviews),Gurgaon/Gurugram + 11 more,11-50 Employees (India),,
Healthium Medtec...,3.7,(91 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 18 more",31 years old,501-1k Employees (India)
Mentorsity,4.4,(91 Reviews),Private,"New Delhi,Delhi + 6 more",3 years old,11-50 Employees (India)
Hyundai Steel,4.0,(91 Reviews),Private,Seoul + 5 more,13 years old,501-1k Employees (India)
Sundyota Numandi...,4.1,(91 Reviews),Private,"Ahmedabad,Gujarat + 17 more",20 years old,51-200 Employees (India)
Model N,4.7,(90 Reviews),Public,San Mateo,24 years old,501-1k Employees (India)
Madura Garments,3.8,(90 Reviews),Private,Bangalore + 23 more,35 years old,51-200 Employees (India)
Numeric Power Sy...,4.3,(90 Reviews),Public,Chennai + 27 more,39 years old,5k-10k Employees (India)
Actis Technologi...,4.3,(90 Reviews),Private,"Mumbai,Maharashtra + 8 more",52 years old,201-500 Employees (India)
Prompt Personnel...,3.6,(90 Reviews),Private,"Mumbai,Maharashtra + 20 more",26 years old,201-500 Employees (India)
Kusalava Interna...,4.1,(90 Reviews),Private,Vijayawada + 7 more,59 years old,1k-5k Employees (India)
Minda Kyoraku,3.6,(90 Reviews),Public,Gurugram + 8 more,15 years old,51-200 Employees (India)
Kenstar,3.4,(90 Reviews),Gurgaon/Gurugram + 28 more,201-500 Employees (India),,
Neuberg Diagnost...,3.5,(90 Reviews),"Chennai,Tamilnadu + 18 more",201-500 Employees (India),,
Atos Services,4.0,(90 Reviews),Private,Bezons + 7 more,26 years old,501-1k Employees (India)
Dr Shroff Charit...,4.2,(90 Reviews),Private,"Delhi/NCR,New Delhi + 3 more",109 years old,501-1k Employees (India)
ETA ASCON Group,4.6,(90 Reviews),Private,Dubai + 11 more,50 years old,50k-1 Lakh Employees (Global)
INDIAN DESIGNS,4.1,(90 Reviews),Bangalore + 7 more,30 years old,201-500 Employees (India),
Corpone Staffing...,3.8,(90 Reviews),Private,Secunderabad + 6 more,18 years old,501-1k Employees (India)
Encotec Energy,3.6,(90 Reviews),Private,Noida + 18 more,14 years old,
Integrated Clean...,4.5,(90 Reviews),Hyderabad + 5 more,20 years old,501-1k Employees (India),
SmartSchool Educ...,3.9,(90 Reviews),Private,Noida + 3 more,12 years old,11-50 Employees (India)
ARK Infosolution...,4.0,(90 Reviews),Private,"Mumbai,Maharashtra + 9 more",11 years old,201-500 Employees (India)
Microchip Techno...,4.0,(90 Reviews),Private,"Chandler,Arizona + 4 more",34 years old,1k-5k Employees (India)
Nalanda Learning...,3.3,(90 Reviews),Private,"Kolkata,West Bengal + 3 more",12 years old,51-200 Employees (India)
FEV,3.7,(90 Reviews),Private,Aachen + 3 more,45 years old,201-500 Employees (India)
AXA,3.9,(90 Reviews),Private,Paris + 11 more,207 years old,10k-50k Employees (India)
Saurashtra Chemi...,4.1,(90 Reviews),Public,Porbandar + 3 more,1k-5k Employees (India),
Connect India E ...,3.6,(90 Reviews),Private,Bangalore + 27 more,8 years old,51-200 Employees (India)
Gulshan Polyols,3.5,(90 Reviews),Public,Muzaffarnagar + 7 more,23 years old,501-1k Employees (India)
MyCar,3.7,(90 Reviews),Private,Pune + 15 more,18 years old,11-50 Employees (India)
Integrated Perso...,3.6,(90 Reviews),Mumbai + 24 more,19 years old,201-500 Employees (India),
Deccan Cements,4.3,(90 Reviews),Public,Hyderabad + 7 more,44 years old,501-1k Employees (India)
TSR Darashaw,3.4,(90 Reviews),Private,"Mumbai,Maharashtra + 7 more",22 years old,51-200 Employees (India)
Hind Rectifiers,3.3,(90 Reviews),Public,"Mumbai,Maharashtra + 6 more",65 years old,201-500 Employees (India)
Listenlights,3.9,(90 Reviews),Mumbai + 4 more,37 years old,51-200 Employees (Global),
Reynolds,4.4,(90 Reviews),Minnesota + 18 more,78 years old,501-1k Employees (India),
Yeshshree Press ...,3.7,(90 Reviews),"Aurangabad,Maharashtra + 1 more",26 years old,1k-5k Employees (India),
Flovel Energy,4.0,(90 Reviews),Faridabad + 1 more,52 years old,1k-5k Employees (India),
Aditya Birla Ide...,4.0,(90 Reviews),Chennai + 32 more,201-500 Employees (Global),,
DEC Property Man...,4.5,(90 Reviews),Private,New Delhi + 9 more,25 years old,51-200 Employees (India)
Valueonshore Adv...,4.3,(90 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",14 years old,201-500 Employees (India)
Model N,4.7,(90 Reviews),Public,San Mateo,24 years old,501-1k Employees (India)
Kewal Kiran Clot...,3.9,(90 Reviews),Public,"Mumbai,Maharashtra + 19 more",42 years old,1k-5k Employees (India)
Pearl Polymers,4.6,(90 Reviews),Public,"Delhi/NCR,Delhi + 13 more",39 years old,501-1k Employees (India)
Growel Softech,2.7,(90 Reviews),Private,"Pune,Maharashtra + 4 more",24 years old,201-500 Employees (India)
Indo Gulf Fertil...,4.6,(90 Reviews),Public,Port Harcourt + 14 more,20 years old,51-200 Employees (India)
Minda Kyoraku,3.6,(90 Reviews),Public,Gurugram + 8 more,15 years old,51-200 Employees (India)
Listenlights,3.9,(90 Reviews),Mumbai + 4 more,37 years old,51-200 Employees (Global),
Reynolds,4.4,(90 Reviews),Minnesota + 18 more,78 years old,501-1k Employees (India),
Encotec Energy,3.6,(90 Reviews),Private,Noida + 18 more,14 years old,
Gulshan Polyols,3.5,(90 Reviews),Public,Muzaffarnagar + 7 more,23 years old,501-1k Employees (India)
Dr Shroff Charit...,4.2,(90 Reviews),Private,"Delhi/NCR,New Delhi + 3 more",109 years old,501-1k Employees (India)
Narayana Supersp...,4.0,(90 Reviews),Public,Bengaluru + 8 more,23 years old,10k-50k Employees (Global)
Chetana Publicat...,3.2,(90 Reviews),Private,"Mumbai,Maharashtra + 15 more",48 years old,201-500 Employees (India)
GTT Communicatio...,3.8,(90 Reviews),Private,McLean + 1 more,25 years old,201-500 Employees (India)
Neuberg Diagnost...,3.5,(90 Reviews),"Chennai,Tamilnadu + 18 more",201-500 Employees (India),,
Atos Services,4.0,(90 Reviews),Private,Bezons + 7 more,26 years old,501-1k Employees (India)
Denso Ten Minda ...,4.3,(90 Reviews),Bawal + 4 more,11 years old,51-200 Employees (India),
Aditya Birla Ide...,4.0,(90 Reviews),Chennai + 32 more,201-500 Employees (Global),,
Dangote Industri...,4.2,(90 Reviews),Public,Lagos + 5 more,45 years old,10k-50k Employees (Global)
R.k.industries,3.6,(90 Reviews),Public,New Delhi + 22 more,1k-5k Employees (India),
Valueonshore Adv...,4.3,(90 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",14 years old,201-500 Employees (India)
ETA ASCON Group,4.6,(90 Reviews),Private,Dubai + 11 more,50 years old,50k-1 Lakh Employees (Global)
Salcomp,3.9,(90 Reviews),Sriperumbudur + 3 more,5k-10k Employees (India),,
Saurashtra Chemi...,4.1,(90 Reviews),Public,Porbandar + 3 more,1k-5k Employees (India),
Kenstar,3.4,(90 Reviews),Gurgaon/Gurugram + 28 more,201-500 Employees (India),,
Connect India E ...,3.6,(90 Reviews),Private,Bangalore + 27 more,8 years old,51-200 Employees (India)
Integrated Perso...,3.6,(90 Reviews),Mumbai + 24 more,19 years old,201-500 Employees (India),
Deccan Cements,4.3,(90 Reviews),Public,Hyderabad + 7 more,44 years old,501-1k Employees (India)
DEC Property Man...,4.5,(90 Reviews),Private,New Delhi + 9 more,25 years old,51-200 Employees (India)
Nalanda Learning...,3.3,(90 Reviews),Private,"Kolkata,West Bengal + 3 more",12 years old,51-200 Employees (India)
Narayana Supersp...,4.0,(90 Reviews),Public,Bengaluru + 8 more,23 years old,10k-50k Employees (Global)
Arbro Pharmaceut...,3.6,(90 Reviews),Private,"New Delhi,Delhi + 4 more",38 years old,51-200 Employees (India)
Edvoy,4.6,(90 Reviews),Private,Manchester + 3 more,17 years old,51-200 Employees (India)
WorkIndia,3.3,(90 Reviews),Private,"Mumbai,Maharashtra + 10 more",8 years old,201-500 Employees (India)
Toshiba Water So...,3.9,(90 Reviews),Gurgaon/Gurugram + 10 more,51-200 Employees (India),,
Grivaa Capital,4.7,(90 Reviews),Private,New Delhi + 1 more,8 years old,11-50 Employees (India)
Unison Pharmaceu...,4.3,(90 Reviews),Ahmedabad + 3 more,42 years old,501-1k Employees (India),
Newt Global,4.0,(90 Reviews),Private,"Irving,Texas + 6 more",19 years old,51-200 Employees (India)
Fairmont Hotels ...,4.3,(89 Reviews),Private,Toronto + 10 more,116 years old,201-500 Employees (India)
Kumar Properties,4.0,(89 Reviews),Private,"Pune,Maharashtra + 4 more",57 years old,501-1k Employees (Global)
GP Strategies,3.9,(89 Reviews),Private,"Columbia,Maryland + 3 more",57 years old,201-500 Employees (India)
Volvo Constructi...,4.0,(89 Reviews),Private,Gothenburg + 18 more,191 years old,1k-5k Employees (India)
Pilot Industries,3.2,(89 Reviews),Private,"Delhi/NCR,Delhi + 10 more",54 years old,201-500 Employees (India)
GSPL,3.9,(89 Reviews),Public,Gandhinagar + 22 more,44 years old,1k-5k Employees (India)
ATC (Assam),3.8,(89 Reviews),Private,New Delhi + 27 more,71 years old,501-1k Employees (Global)
Kotak Mahindra G...,4.1,(89 Reviews),Public,"Mumbai,Maharashtra + 23 more",8 years old,501-1k Employees (India)
Tyco Fire & Secu...,4.3,(89 Reviews),Private,Abu Dhabi + 16 more,31 years old,501-1k Employees (India)
Endress Hauser,4.0,(89 Reviews),Private,Reinach + 10 more,70 years old,201-500 Employees (India)
Vigour Mobile,3.9,(89 Reviews),Private,Gurgaon + 17 more,9 years old,1k-5k Employees (India)
Opgs Power Gujar...,4.2,(89 Reviews),Private,"Toronto,Ontario + 10 more",15 years old,201-500 Employees (India)
Brunel,4.2,(89 Reviews),Private,"Amsterdam,North Holland + 10 more",48 years old,51-200 Employees (India)
Gensol Engineeri...,4.2,(89 Reviews),Public,"Ahmedabad,Gujarat + 12 more",16 years old,51-200 Employees (India)
Mit World Peace ...,3.7,(89 Reviews),Pune + 1 more,1k-5k Employees (India),,
Sanzyme,4.1,(89 Reviews),Private,Hyderabad + 10 more,54 years old,201-500 Employees (India)
Adaequare,4.0,(89 Reviews),Private,Chantilly + 2 more,22 years old,201-500 Employees (India)
KSK Mahanadi Pow...,3.7,(89 Reviews),Public,"Champa,Chhattisgarh + 3 more",22 years old,1k-5k Employees (India)
East India Techn...,3.2,(89 Reviews),Private,Bengaluru + 4 more,34 years old,51-200 Employees (India)
Airef Engineers,3.8,(89 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",37 years old,1k-5k Employees (India)
Ishan Netsol,4.2,(89 Reviews),Private,Rajkot + 21 more,23 years old,51-200 Employees (India)
Vijaya Bank,4.2,(89 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",92 years old,10k-50k Employees (India)
GSPL,3.9,(89 Reviews),Public,Gandhinagar + 22 more,44 years old,1k-5k Employees (India)
BSR,3.3,(89 Reviews),Private,San Francisco + 12 more,31 years old,1k-5k Employees (Global)
Motion Education,3.7,(89 Reviews),Private,Kota + 24 more,16 years old,51-200 Employees (India)
Matrimonialsindi...,5.0,(89 Reviews),New Delhi,26 years old,,
Pilot Industries,3.2,(89 Reviews),Private,"Delhi/NCR,Delhi + 10 more",54 years old,201-500 Employees (India)
Possible Health,3.2,(89 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",8 years old,51-200 Employees (India)
Department of Ag...,4.0,(89 Reviews),Public,"Delhi/NCR,New Delhi + 40 more",76 years old,10k-50k Employees (India)
ABIL Group,4.2,(89 Reviews),Private,"Pune,Maharashtra",44 years old,1k-5k Employees (India)
ALL TIME PLASTIC...,3.5,(89 Reviews),Private,"Mumbai,Maharashtra + 6 more",59 years old,51-200 Employees (India)
Brunel,4.2,(89 Reviews),Private,"Amsterdam,North Holland + 10 more",48 years old,51-200 Employees (India)
Vigour Mobile,3.9,(89 Reviews),Private,Gurgaon + 17 more,9 years old,1k-5k Employees (India)
Thinksynq Soluti...,3.8,(89 Reviews),Private,"Chennai,Tamil Nadu + 5 more",16 years old,11-50 Employees (India)
BuildAHome,4.4,(89 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",7 years old,51-200 Employees (India)
ZunRoof Tech,3.5,(89 Reviews),Private,"Gurgaon,Haryana + 6 more",7 years old,51-200 Employees (India)
Gensol Engineeri...,4.2,(89 Reviews),Public,"Ahmedabad,Gujarat + 12 more",16 years old,51-200 Employees (India)
Mit World Peace ...,3.7,(89 Reviews),Pune + 1 more,1k-5k Employees (India),,
Pharmaceutical j...,3.9,(89 Reviews),Private,Paris + 34 more,,
Airef Engineers,3.8,(89 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",37 years old,1k-5k Employees (India)
Sjmmcsl,4.0,(89 Reviews),Pune + 33 more,5k-10k Employees (Global),,
Porus Laboratori...,4.1,(89 Reviews),Private,Hyderabad + 3 more,29 years old,501-1k Employees (India)
Vee Gee Industri...,4.0,(89 Reviews),Private,Faridabad + 3 more,16 years old,201-500 Employees (India)
Mantra Propertie...,3.6,(89 Reviews),Private,"Pune,Maharashtra",21 years old,51-200 Employees (India)
Tyco Fire & Secu...,4.3,(89 Reviews),Private,Abu Dhabi + 16 more,31 years old,501-1k Employees (India)
Express Roadways,3.5,(89 Reviews),New Delhi + 23 more,30 years old,51-200 Employees (India),
Endress Hauser,4.0,(89 Reviews),Private,Reinach + 10 more,70 years old,201-500 Employees (India)
KSK Mahanadi Pow...,3.7,(89 Reviews),Public,"Champa,Chhattisgarh + 3 more",22 years old,1k-5k Employees (India)
East India Techn...,3.2,(89 Reviews),Private,Bengaluru + 4 more,34 years old,51-200 Employees (India)
M Power Micro Fi...,3.9,(89 Reviews),Private,"Mumbai,Maharashtra + 14 more",14 years old,10k-50k Employees (India)
Kotak Mahindra G...,4.1,(89 Reviews),Public,"Mumbai,Maharashtra + 23 more",8 years old,501-1k Employees (India)
Karuna Managemen...,3.6,(89 Reviews),Private,"Kolkata,West Bengal + 7 more",28 years old,51-200 Employees (India)
ECOS (I) MOBILIT...,4.1,(89 Reviews),Private,New Delhi + 6 more,27 years old,501-1k Employees (India)
Ellucian Higher ...,4.1,(89 Reviews),Private,"Reston,Virginia",12 years old,501-1k Employees (India)
Sanzyme,4.1,(89 Reviews),Private,Hyderabad + 10 more,54 years old,201-500 Employees (India)
Ansal Housing & ...,3.5,(89 Reviews),Public,"Delhi/NCR,New Delhi + 11 more",40 years old,201-500 Employees (India)
Opgs Power Gujar...,4.2,(89 Reviews),Private,"Toronto,Ontario + 10 more",15 years old,201-500 Employees (India)
Girnarsoft Autom...,3.6,(89 Reviews),Gurgaon/Gurugram + 21 more,1k-5k Employees (India),,
Vflyorions,4.7,(89 Reviews),201-500 Employees (India),,,
Mahindra Teqo,4.2,(89 Reviews),Mumbai + 26 more,501-1k Employees (India),,
Reliance Smart P...,4.2,(89 Reviews),Kolkata + 40 more,1-10 Employees (India),,
Risebird Talent ...,4.1,(89 Reviews),Bengaluru/Bangalore + 3 more,51-200 Employees (India),,
Zeelab Pharmacy,4.0,(89 Reviews),New Delhi + 11 more,201-500 Employees (India),,
Topsoe,4.2,(89 Reviews),Faridabad + 2 more,,,
PGEIN,4.4,(89 Reviews),Private,"Chandigarh,Chandigarh + 1 more",3 years old,51-200 Employees (India)
A.t.e. Enterpris...,4.0,(89 Reviews),"Mumbai,Maharashtra + 12 more",84 years old,1k-5k Employees (India),
Finecure Pharmac...,3.7,(89 Reviews),Public,"Ahmedabad,Gujarat + 4 more",18 years old,201-500 Employees (India)
Trinity Mobility,3.1,(89 Reviews),Private,"Bangalore,Karnataka + 4 more",12 years old,201-500 Employees (India)
Tupperware,3.9,(89 Reviews),Private,Orlando + 14 more,77 years old,501-1k Employees (India)
FICCI,3.6,(88 Reviews),Public,"Delhi/NCR,Delhi + 11 more",96 years old,501-1k Employees (India)
The Grand New De...,3.7,(88 Reviews),Private,New Delhi + 3 more,27 years old,201-500 Employees (India)
Live Connections,4.0,(88 Reviews),Private,Chennai + 6 more,27 years old,51-200 Employees (India)
Lotus Footwear E...,3.9,(88 Reviews),Private,Tamil Nadu + 5 more,52 years old,10k-50k Employees (India)
Tatsuno India,3.8,(88 Reviews),Private,Mumbai + 10 more,17 years old,51-200 Employees (India)
Orange Mantra,3.9,(88 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",22 years old,51-200 Employees (India)
YuppTV,3.8,(88 Reviews),Private,"Atlanta,Georgia + 1 more",17 years old,201-500 Employees (India)
Pai Internationa...,4.5,(88 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",23 years old,501-1k Employees (India)
Pegasus InfoCorp,3.0,(88 Reviews),Private,"Mumbai,Maharashtra + 6 more",20 years old,201-500 Employees (India)
ObjectWin Techno...,3.7,(88 Reviews),Private,"Houston,Texas + 4 more",26 years old,201-500 Employees (India)
Raintree Hotel,4.5,(88 Reviews),Private,Chennai + 2 more,13 years old,51-200 Employees (India)
Clixlogix Techno...,3.5,(88 Reviews),Private,"Noida,Uttar Pradesh",11 years old,51-200 Employees (India)
Western Coalfiel...,4.4,(88 Reviews),Public,Nagpur + 11 more,48 years old,10k-50k Employees (India)
Transact Global,3.7,(88 Reviews),Private,Bengaluru + 1 more,15 years old,201-500 Employees (India)
KidZania,3.3,(88 Reviews),Private,Mexico City + 1 more,26 years old,51-200 Employees (India)
Gruh Finance,4.1,(88 Reviews),Public,"Ahmedabad,Gujarat + 43 more",35 years old,501-1k Employees (India)
Jamia Millia Isl...,4.4,(88 Reviews),Private,New Delhi + 4 more,103 years old,11-50 Employees (India)
Graphic Era Univ...,3.8,(88 Reviews),Private,Dehradun + 5 more,30 years old,501-1k Employees (India)
Skechers,4.3,(88 Reviews),"Manhattan Beach,California + 30 more",31 years old,,
IMS Health,4.2,(88 Reviews),Bengaluru/Bangalore + 6 more,,,
PathPartner Tech...,4.0,(88 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",17 years old,201-500 Employees (India)
P C CHANDRA JEWE...,3.9,(88 Reviews),Private,Kolkata + 18 more,84 years old,51-200 Employees (India)
Sumtotal Systems,4.0,(88 Reviews),Private,"Gainesville,Florida",38 years old,501-1k Employees (India)
Zenoti,3.2,(88 Reviews),Private,"Bellevue,Washington",13 years old,501-1k Employees (India)
Gems Education,3.8,(88 Reviews),"Dubai,Dubai + 15 more",64 years old,51-200 Employees (India),
Maple Digital Te...,3.5,(88 Reviews),Private,"Mumbai,Maharashtra + 5 more",14 years old,51-200 Employees (India)
Competent Automo...,4.0,(88 Reviews),Private,"Delhi/NCR,New Delhi + 8 more",38 years old,5k-10k Employees (India)
Dietech India,3.6,(88 Reviews),Private,Kancheepuram + 4 more,28 years old,201-500 Employees (India)
Met Technologies,2.6,(88 Reviews),Private,"Kolkata,West Bengal",13 years old,501-1k Employees (India)
Government of Od...,3.8,(88 Reviews),Private,Bhubaneswar + 23 more,1k-5k Employees (Global),
Dachser,3.7,(88 Reviews),Kempten + 15 more,29 years old,201-500 Employees (India),
Magic EdTech,3.5,(88 Reviews),"New York,New York + 2 more",33 years old,501-1k Employees (India),
Toppan Merrill T...,3.9,(88 Reviews),"New York,New York",201-500 Employees (India),,
Forest Essential...,3.8,(88 Reviews),Private,"Noida,Uttar Pradesh + 24 more",23 years old,201-500 Employees (India)
PES Engineers,4.1,(88 Reviews),Private,Hyderabad + 11 more,42 years old,201-500 Employees (India)
Deccan iServices...,3.4,(88 Reviews),Chennai + 5 more,201-500 Employees (India),,
D A V School,4.2,(88 Reviews),Private,Chamba + 40 more,50k-1 Lakh Employees (Global),
B New Mobiles,3.7,(88 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 18 more",9 years old,51-200 Employees (India)
Premier Plasmote...,3.9,(88 Reviews),Private,Faridabad + 7 more,14 years old,51-200 Employees (India)
Oliva Skin and H...,4.4,(88 Reviews),Private,"Hyderabad,Telangana + 7 more",14 years old,201-500 Employees (India)
VRC Construction...,4.1,(88 Reviews),Private,New Delhi + 17 more,27 years old,501-1k Employees (India)
Amity Software S...,3.6,(88 Reviews),Public,"Noida,Uttar Pradesh + 2 more",2023 years old,201-500 Employees (India)
Smart Energy Wat...,3.6,(88 Reviews),Private,Irvine,14 years old,201-500 Employees (India)
CI Infotech,3.8,(88 Reviews),Private,New Delhi + 9 more,27 years old,51-200 Employees (India)
Pullman New Delh...,4.5,(88 Reviews),New Delhi,8 years old,201-500 Employees (India),
3 Gen Consulting,3.0,(88 Reviews),Private,Pune,17 years old,51-200 Employees (India)
SanDisk India De...,3.9,(88 Reviews),Private,San Jose + 3 more,18 years old,1k-5k Employees (India)
Trimed Solutions...,3.8,(88 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 7 more",11 years old,201-500 Employees (India)
Milky Mist Dairy...,3.5,(88 Reviews),Private,"Erode,Tamil Nadu + 19 more",9 years old,501-1k Employees (India)
HP Globalsoft,4.2,(88 Reviews),Bengaluru/Bangalore + 1 more,,,
Akal Academy,3.7,(88 Reviews),Private,"Sirmour,Himachal Pradesh + 24 more",36 years old,201-500 Employees (India)
Tasmed,4.1,(88 Reviews),"Ahmedabad,Gujarat + 16 more",30 years old,501-1k Employees (India),
Satnam Global In...,3.6,(88 Reviews),New Delhi + 14 more,36 years old,51-200 Employees (India),
Sridevi Tool Eng...,3.7,(88 Reviews),Private,Vasai + 3 more,51 years old,51-200 Employees (India)
Eldeco Infrastru...,4.2,(88 Reviews),Private,"Delhi/NCR,New Delhi + 7 more",48 years old,201-500 Employees (Global)
Eskag Pharma,3.2,(88 Reviews),Kolkata + 9 more,46 years old,201-500 Employees (India),
E-meditek Tpa Se...,3.7,(88 Reviews),Private,Gurgaon + 15 more,23 years old,501-1k Employees (Global)
Ramdev Food Prod...,4.0,(88 Reviews),Ahmedabad + 15 more,58 years old,501-1k Employees (India),
Setco Automotive,4.0,(88 Reviews),Public,"Mumbai,Maharashtra + 10 more",41 years old,501-1k Employees (India)
Augustus Healthc...,3.7,(88 Reviews),LLP,Harwood Heights + 1 more,24 years old,501-1k Employees (Global)
Sankey Solutions,4.2,(88 Reviews),"Bombay,maharashtra",8 years old,51-200 Employees (India),
B.L. Agro Indust...,3.3,(88 Reviews),Bareilly + 11 more,,,
Kaar Tech,3.9,(88 Reviews),Private,Chennai + 1 more,18 years old,501-1k Employees (India)
VBeyond Corporat...,4.0,(88 Reviews),Private,Hillsborough + 3 more,17 years old,201-500 Employees (India)
Kumaran Systems,4.0,(88 Reviews),Private,"Toronto,Ontario + 3 more",33 years old,501-1k Employees (India)
Simpolo Vitrifie...,3.8,(88 Reviews),Private,"Morbi,Gujarat + 19 more",46 years old,201-500 Employees (India)
ARDEM Incorporat...,3.5,(88 Reviews),,,,
Sicagen,4.1,(87 Reviews),Public,"Chennai,Tamil Nadu + 21 more",19 years old,501-1k Employees (India)
Deepija Telecom,4.4,(87 Reviews),Private,Hyderabad + 9 more,20 years old,201-500 Employees (India)
ASSA ABLOY,3.7,(87 Reviews),Public,"Stockholm,Stockholm County + 17 more",18 years old,51-200 Employees (India)
MKU,3.1,(87 Reviews),Private,"Kanpur,Uttar Pradesh + 7 more",38 years old,51-200 Employees (India)
Rustomjee Academ...,3.6,(87 Reviews),Private,"Mumbai,Maharashtra + 4 more",15 years old,51-200 Employees (India)
Quatrro Mortgage...,3.1,(87 Reviews),Private,Marietta + 2 more,17 years old,51-200 Employees (India)
Petronet LNG,4.5,(87 Reviews),Public,"Delhi/NCR,Delhi + 5 more",25 years old,501-1k Employees (India)
Optimus Informat...,4.0,(87 Reviews),Private,Vancouver + 1 more,14 years old,51-200 Employees (India)
Cogniter Technol...,3.9,(87 Reviews),Private,"Chandigarh,Haryana + 16 more",20 years old,51-200 Employees (India)
HAL Offshore,4.3,(87 Reviews),Private,"Mumbai,Maharashtra + 11 more",28 years old,11-50 Employees (India)
ABV Rock Group,4.4,(87 Reviews),Private,Riyadh + 9 more,49 years old,1k-5k Employees (Global)
Ducat,4.1,(87 Reviews),Private,"Noida,Uttar Pradesh + 3 more",24 years old,51-200 Employees (India)
Bharti Retail,4.6,(87 Reviews),Private,New Delhi + 33 more,47 years old,201-500 Employees (India)
Dimension India ...,3.7,(87 Reviews),Private,"Noida,Uttar Pradesh + 9 more",23 years old,201-500 Employees (India)
Everest Blowers,3.8,(87 Reviews),Private,New Delhi + 3 more,43 years old,201-500 Employees (India)
Astute Corporate...,3.4,(87 Reviews),Private,"Pune,Maharashtra + 14 more",18 years old,1k-5k Employees (Global)
MIDLAND CREDIT M...,4.2,(87 Reviews),Private,San Diego,70 years old,1k-5k Employees (India)
Madras Medical M...,4.5,(87 Reviews),Private,"Chennai,Tamil Nadu + 1 more",41 years old,1k-5k Employees (India)
JSW Ispat Steel,4.1,(87 Reviews),Public,"Nagpur,Maharashtra + 13 more",39 years old,501-1k Employees (India)
Veena world,4.0,(87 Reviews),Private,"Mumbai,Maharashtra + 7 more",10 years old,11-50 Employees (India)
Anabeeb,4.2,(87 Reviews),Dammam + 5 more,40 years old,1k-5k Employees (Global),
i-Exceed Technol...,3.3,(87 Reviews),Private,"Princeton,New Jersey + 2 more",12 years old,201-500 Employees (India)
Alchemist Hospit...,4.2,(87 Reviews),Private,"Panchkula,Haryana + 6 more",29 years old,51-200 Employees (India)
Ambit Software,4.6,(87 Reviews),Private,"Pune,Maharashtra + 1 more",17 years old,51-200 Employees (India)
KIIT University,4.3,(87 Reviews),Private,"Blaine,Washington + 2 more",31 years old,1k-5k Employees (India)
Amalgamated Plan...,4.1,(87 Reviews),Private,Kolkata + 9 more,150 years old,201-500 Employees (India)
Same Deutz-fahr,3.8,(87 Reviews),Private,Treviglio + 6 more,96 years old,501-1k Employees (India)
Jash Engineering,4.2,(87 Reviews),Public,"Indore,Madhya Pradesh + 1 more",75 years old,51-200 Employees (India)
Datapro,3.8,(87 Reviews),Private,Florida + 20 more,47 years old,51-200 Employees (Global)
Indiana Gratings,3.7,(87 Reviews),Private,"Mumbai,Maharashtra + 5 more",53 years old,501-1k Employees (India)
Forever New,4.3,(87 Reviews),Private,Melbourne + 21 more,17 years old,201-500 Employees (India)
BVC Logistics,4.0,(87 Reviews),Private,Mumbai + 21 more,63 years old,1k-5k Employees (India)
Reliance Foundat...,4.3,(87 Reviews),Private,"Nagpur,Maharashtra + 25 more",32 years old,201-500 Employees (India)
Indian Synthetic...,3.7,(87 Reviews),Private,Noida + 3 more,13 years old,201-500 Employees (India)
Ozonegroup,4.0,(87 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",20 years old,501-1k Employees (India)
Purnartha Invest...,3.6,(87 Reviews),Private,"Pune,Maharashtra + 9 more",14 years old,10k-50k Employees (India)
Datapro,3.8,(87 Reviews),Private,Florida + 20 more,47 years old,51-200 Employees (Global)
Indiana Gratings,3.7,(87 Reviews),Private,"Mumbai,Maharashtra + 5 more",53 years old,501-1k Employees (India)
Madras Medical M...,4.5,(87 Reviews),Private,"Chennai,Tamil Nadu + 1 more",41 years old,1k-5k Employees (India)
Ducat,4.1,(87 Reviews),Private,"Noida,Uttar Pradesh + 3 more",24 years old,51-200 Employees (India)
