name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Cholamandalam In...,4.1,(2.7k Reviews),Private,"Chennai,Tamil Nadu + 536 more",45 years old,5k-10k Employees (India)
Swiggy,4.0,(2.7k Reviews),Private,"Bangalore,Karnataka + 152 more",9 years old,10k-50k Employees (India)
Nagarjuna Constr...,4.1,(2.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 194 more",25 years old,1k-5k Employees (India)
KEC Internationa...,4.1,(2.7k Reviews),Public,"Mumbai,Maharashtra + 235 more",78 years old,5k-10k Employees (India)
Muthoot Fincorp,4.0,(2.6k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 489 more",136 years old,10k-50k Employees (India)
Godrej & Boyce M...,3.9,(2.6k Reviews),Private,"Mumbai,Maharashtra + 121 more",126 years old,10k-50k Employees (India)
SBI Life Insuran...,3.8,(2.6k Reviews),Government,"Mumbai,Maharashtra + 472 more",22 years old,10k-50k Employees (India)
Aditya Birla Fas...,4.2,(2.6k Reviews),Private,Mumbai + 204 more,8 years old,10k-50k Employees (India)
Royal Enfield,4.2,(2.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 270 more",122 years old,1k-5k Employees (India)
Tata Communicati...,4.2,(2.6k Reviews),Public,"Mumbai,Maharashtra + 80 more",37 years old,5k-10k Employees (India)
Ekart Logistics,4.1,(2.6k Reviews),Private,"San Francisco,California + 480 more",14 years old,5k-10k Employees (India)
LG Electronics,4.0,(2.6k Reviews),Public,"Seoul,Seoul + 217 more",65 years old,10k-50k Employees (India)
Whitehat jr,3.6,(2.6k Reviews),Private,"Mumbai,Maharashtra + 46 more",5 years old,5k-10k Employees (India)
John Deere,4.3,(2.6k Reviews),Private,"Moline,Illinois + 102 more",22 years old,1k-5k Employees (India)
Optum,4.1,(2.6k Reviews),Private,"Prairie,USA + 21 more",46 years old,10k-50k Employees (India)
L&T Technology S...,3.4,(2.5k Reviews),Public,"Vadodara/Baroda,Gujarat + 30 more",11 years old,10k-50k Employees (India)
L&T Finance,4.0,(2.5k Reviews),Public,"Mumbai,Maharashtra + 434 more",29 years old,10k-50k Employees (India)
Piramal Capital ...,4.3,(2.5k Reviews),Mumbai + 282 more,3 years old,5k-10k Employees (India),
Intas Pharmaceut...,4.2,(2.5k Reviews),Private,"Ahmedabad,Gujrat + 104 more",23 years old,10k-50k Employees (India)
UnitedHealth,4.2,(2.5k Reviews),Private,"Minnetonka,Minnesota + 13 more",46 years old,10k-50k Employees (India)
Hetero Drugs,3.8,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 32 more",30 years old,1k-5k Employees (India)
Ford Motor,4.5,(2.5k Reviews),Public,"Dearborn,Michigan + 98 more",120 years old,5k-10k Employees (India)
Thermax Limited,4.2,(2.5k Reviews),Public,"Pune,Maharashtra + 137 more",43 years old,5k-10k Employees (India)
Varun Beverages,4.0,(2.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 240 more",28 years old,10k-50k Employees (India)
Sodexo,4.1,(2.4k Reviews),Private,Issy Les Moulineaux + 120 more,15 years old,201-500 Employees (India)
Abbott Healthcar...,4.2,(2.4k Reviews),Public,"Illinois City,Illinois + 158 more",32 years old,10k-50k Employees (India)
Subros,4.0,(2.4k Reviews),Public,"Noida,Uttar Pradesh + 37 more",38 years old,1k-5k Employees (India)
Macleods Pharmac...,3.8,(2.4k Reviews),Public,"Mumbai,Maharashtra + 80 more",37 years old,5k-10k Employees (India)
Motherson Sumi S...,3.8,(2.4k Reviews),Public,"Noida,Uttar Pradesh + 62 more",37 years old,5k-10k Employees (India)
VE Commercial Ve...,4.0,(2.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 113 more",15 years old,1k-5k Employees (India)
Randstad,3.9,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 219 more",31 years old,1k-5k Employees (India)
Automatic Data P...,4.2,(2.4k Reviews),New Jersey + 15 more,74 years old,5k-10k Employees (India),
American Express,4.3,(2.3k Reviews),Private,"New York City,New York + 36 more",173 years old,10k-50k Employees (India)
Wipro Consumer ...,3.7,(2.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 79 more",78 years old,1k-5k Employees (India)
Axis Direct,3.9,(2.3k Reviews),Private,"San Mateo,California + 264 more",12 years old,1k-5k Employees (India)
Havells,4.1,(2.3k Reviews),Public,"Noida,Uttar Pradesh + 148 more",40 years old,5k-10k Employees (India)
Pidilite Industr...,4.3,(2.3k Reviews),Public,"Mumbai,Maharashtra + 197 more",64 years old,5k-10k Employees (India)
Hindustan Coca C...,4.4,(2.3k Reviews),Private,Bangalore + 188 more,26 years old,5k-10k Employees (India)
Alkem Laboratori...,4.0,(2.3k Reviews),Public,"Mumbai,Maharashtra + 128 more",50 years old,10k-50k Employees (India)
Wipro Infotech,4.0,(2.3k Reviews),Private,Bangalore + 115 more,78 years old,1 Lakh+ Employees (Global)
Indian Air Force,4.6,(2.3k Reviews),Private,"New Delhi,Delhi + 107 more",91 years old,1 Lakh+ Employees (India)
CARS24,3.7,(2.3k Reviews),Private,"Gurgaon,Haryana + 135 more",8 years old,5k-10k Employees (India)
Bharat Electroni...,4.1,(2.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 36 more",69 years old,5k-10k Employees (India)
Alembic Pharmace...,4.1,(2.3k Reviews),Public,"Vadodara/Baroda,Gujrat + 125 more",116 years old,10k-50k Employees (India)
Atos,3.9,(2.2k Reviews),Private,"Vilnius,Vilniaus Apskritis + 34 more",26 years old,201-500 Employees (India)
Deutsche Bank,4.1,(2.2k Reviews),Private,Frankfurt + 29 more,153 years old,10k-50k Employees (India)
Team Lease,3.9,(2.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 246 more",7 years old,1k-5k Employees (India)
Cgi Group,4.1,(2.2k Reviews),Private,"Montreal,Quebec + 13 more",47 years old,10k-50k Employees (India)
